Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1782766742,213976687,0,0,0,0,0.00,54.00
1782766743,214015541,24,0,0,0,0.00,2.08
1782766744,214013389,32,0,0,0,0.00,14.15
1782766745,214018230,37,0,0,0,0.00,9.18
1782766746,214021066,62,1,1,0,0.00,14.29
1782766747,213989896,67,0,0,0,0.00,12.90
1782766748,214029719,55,1,1,0,0.00,15.15
1782766749,213994537,54,0,0,0,0.00,13.27
1782766750,214003348,68,0,0,0,0.00,14.58
1782766751,213992154,66,1,1,0,0.00,18.00
1782766752,213990953,51,1,2,0,0.00,12.37
1782766753,213989747,62,0,0,0,0.00,19.23
1782766754,213991534,44,0,1,0,0.00,13.00
1782766755,213996316,49,0,0,0,0.00,11.34
1782766756,214452091,50,0,0,0,0.00,8.51
1782766757,213988861,60,0,0,0,0.00,17.65
1782766758,213994625,57,0,0,0,0.00,12.37
1782766759,213990383,62,0,1,0,0.00,18.63
1782766760,213990135,51,0,0,0,0.00,13.27
1782766761,214003881,44,0,1,0,0.00,7.45
1782766762,214004622,62,0,0,0,0.00,16.83
1782766763,214001356,41,0,0,0,0.00,10.10
1782766764,214000085,55,0,0,0,0.00,13.27
1782766765,213997808,50,0,0,0,0.00,13.13
1782766766,213990525,50,0,0,0,0.00,19.44
1782766767,214017236,51,0,0,0,0.00,12.24
1782766768,213998941,44,0,0,0,0.00,11.11
1782766769,213999641,50,0,0,0,0.00,7.45
1782766770,213997335,46,0,1,0,0.00,12.12
1782766771,213994023,46,0,0,0,0.00,11.11
1782766772,213980705,74,0,0,0,0.00,15.79
1782766773,213968382,46,0,0,0,0.00,28.28
1782766774,214014053,43,0,0,0,0.00,11.00
1782766775,214003718,50,0,0,0,0.00,12.24
1782766776,213998377,40,0,0,0,0.00,10.10
1782766777,213998031,48,0,1,0,0.00,14.85
1782766778,214006679,61,1,1,0,0.00,18.63
1782766779,213996321,33,0,1,0,0.00,7.14
1782766780,213989958,48,0,0,0,0.00,15.69
1782766781,214003589,58,0,0,0,0.00,15.00
1782766782,213995215,50,0,0,0,0.00,8.51
1782766783,213988834,39,0,0,0,0.00,10.89
1782766784,213995449,37,0,0,0,0.00,8.33
1782766785,214003057,46,0,0,0,0.00,12.00
1782766786,213998660,41,1,0,0,0.00,8.33
1782766787,213991258,42,0,0,0,0.00,11.11
1782766788,213992849,48,1,1,0,0.00,12.24
1782766789,214011436,51,0,0,0,0.00,13.13
1782766790,214006016,57,0,1,0,0.00,13.54
1782766791,214626590,37,0,0,0,0.00,11.76
1782766792,213993161,42,0,0,0,0.00,14.42
1782766793,214020725,43,0,0,0,0.00,10.20
1782766794,213993284,48,1,2,0,0.00,14.85
1782766795,214010837,42,0,0,0,0.00,11.11
1782766796,213986385,40,0,0,0,0.00,9.28
1782766797,214211926,40,1,1,0,0.00,11.11
1782766798,214022463,48,0,0,0,0.00,15.53
1782766799,213997995,50,0,0,0,0.00,13.13
1782766800,214017520,39,0,1,0,0.00,8.25
1782766801,214004041,76,0,0,0,0.00,16.67
1782766802,213987556,50,0,0,0,0.00,8.51
1782766803,214001065,57,0,0,0,0.00,12.24
1782766804,214006569,88,0,0,0,0.00,18.75
1782766805,213978068,114,1,1,0,0.00,23.71
1782766806,214009561,74,1,1,0,0.00,13.98
1782766807,213988049,78,0,0,0,0.00,17.35
1782766808,213985532,95,0,0,0,0.00,22.68
1782766809,213982009,102,0,0,0,0.00,28.16
1782766810,213981481,97,1,1,0,0.00,23.23
1782766811,213982948,96,0,0,0,0.00,23.71
1782766812,214005409,100,0,0,0,0.00,20.00
1782766813,214111865,101,0,0,0,0.00,21.88
1782766814,214008315,108,0,0,0,0.00,24.74
1782766815,214006761,85,1,1,0,0.00,20.62
1782766816,214008201,77,0,0,0,0.00,15.05
1782766817,214000636,77,0,0,0,0.00,21.57
1782766818,214007065,70,1,1,0,0.00,16.49
1782766819,214007490,87,0,0,0,0.00,19.39
1782766820,215744904,85,0,0,0,0.00,29.29
1782766821,213974323,62,0,0,0,0.00,36.08
1782766822,214007731,68,0,0,0,0.00,16.16
1782766823,214021134,80,1,1,0,0.00,21.78
1782766824,214660531,91,2,2,0,0.00,18.28
1782766825,213993926,72,0,0,0,0.00,16.67
1782766826,214000314,86,0,1,0,0.00,23.53
1782766827,213979696,71,0,1,0,0.00,16.49
1782766828,214480073,71,2,2,0,0.00,24.53
1782766829,214022446,71,0,0,0,0.00,15.79
1782766830,214584812,79,0,0,0,0.10,17.53
1782766831,213993176,87,0,0,0,0.00,20.41
1782766832,213994533,61,0,0,0,0.00,16.33
1782766833,213968885,77,0,0,0,0.00,33.33
1782766834,213989231,76,0,0,0,0.00,15.46
1782766835,214006573,57,0,0,0,0.00,15.00
1782766836,214018910,51,1,2,0,0.00,5.49
1782766837,213995241,63,0,0,0,0.00,17.00
1782766838,214010568,63,0,0,0,0.00,15.46
1782766839,214525888,73,0,0,0,0.00,23.08
1782766840,214009206,80,0,0,0,0.00,19.39
1782766841,214293517,87,0,0,0,0.00,27.10
1782766842,215461820,63,0,0,0,0.10,15.31
1782766843,214018125,69,0,0,0,0.00,15.46
1782766844,213980422,69,0,0,0,0.00,18.18
1782766845,213987713,53,0,0,0,0.00,14.85
1782766846,213991000,68,2,2,0,0.00,15.62
1782766847,213986281,59,0,1,0,0.00,16.16
1782766848,214008558,60,0,0,0,0.00,15.31
1782766849,213997829,56,0,0,0,0.00,13.27
1782766850,213982096,60,0,0,0,0.00,16.16
1782766851,214006358,67,0,0,0,0.00,18.00
1782766852,213988614,66,0,0,0,0.00,16.16
1782766853,214311865,69,1,1,0,0.10,15.62
1782766854,215221110,82,0,0,0,0.00,20.20
1782766855,214313354,52,0,0,0,0.00,13.13
1782766856,214009593,53,0,0,0,0.00,18.45
1782766857,213981825,44,0,0,0,0.00,12.87
1782766858,214000052,50,0,0,0,0.00,13.13
1782766859,214016275,58,0,0,0,0.00,6.67
1782766860,214000493,50,0,0,0,0.00,7.45
1782766861,214586704,61,1,1,0,0.00,13.68
1782766862,213987914,53,0,0,0,0.00,13.27
1782766863,213995117,41,0,0,0,0.00,8.33
1782766864,213990316,42,0,1,0,0.00,12.87
1782766865,214004510,79,0,0,0,0.00,16.67
1782766866,214004699,57,1,1,0,0.00,15.84
1782766867,214005883,62,0,0,0,0.00,14.14
1782766868,214017062,59,0,0,0,0.00,12.63
1782766869,214691235,84,0,0,0,0.10,19.39
1782766870,213997407,53,0,0,0,0.00,9.47
1782766871,214006572,71,0,0,0,0.00,15.46
1782766872,214011732,49,0,0,0,0.00,10.20
1782766873,214007888,58,1,1,0,0.00,15.31
1782766874,214010039,55,0,0,0,0.00,9.68
1782766875,214019185,72,0,1,0,0.00,16.49
1782766876,213989327,58,0,0,0,0.00,15.15
1782766877,213979464,73,1,1,0,0.00,17.35
1782766878,213981596,56,0,0,0,0.00,17.48
1782766879,213987724,67,0,0,0,0.00,18.18
1782766880,213976847,54,1,2,0,0.00,18.81
1782766881,213999965,55,1,1,0,0.00,14.14
1782766882,214078078,54,0,0,0,0.00,11.46
1782766883,213999187,58,0,0,0,0.00,14.29
1782766884,213999292,58,0,0,0,0.00,15.00
1782766885,213994392,55,1,1,0,0.00,14.14
1782766886,214435485,58,1,1,0,0.00,12.63
1782766887,213996577,59,0,0,0,0.00,11.58
1782766888,214022663,48,0,0,0,0.00,10.31
1782766889,213989745,67,0,1,0,0.00,18.18
1782766890,214001822,61,0,0,0,0.00,15.31
1782766891,214013894,42,0,0,0,0.00,11.22
1782766892,214004962,43,0,0,0,0.00,8.42
1782766893,213992025,56,0,0,0,0.00,28.12
1782766894,214017083,61,0,0,0,0.00,14.00
1782766895,214019138,50,0,0,0,0.00,14.85
1782766896,213985187,63,3,2,0,0.00,17.00
1782766897,213993232,50,0,1,0,0.00,10.42
1782766898,213996273,52,0,0,0,0.00,11.34
1782766899,213992309,50,1,1,0,0.00,14.85
1782766900,213997341,52,1,1,0,0.00,11.46
1782766901,213990368,59,0,0,0,0.00,16.83
1782766902,213990391,57,0,1,0,0.00,18.56
1782766903,213993409,49,0,0,0,0.00,10.42
1782766904,213988423,53,2,2,0,0.00,13.40
1782766905,213990432,58,0,0,0,0.00,13.13
1782766906,213991437,73,2,2,0,0.00,12.09
1782766907,214351437,43,1,1,0,0.00,12.87
1782766908,214008434,48,0,1,0,0.00,14.85
1782766909,214020426,50,0,1,0,0.00,13.13
1782766910,214001413,50,1,1,0,0.00,13.27
1782766911,213997396,28,0,0,0,0.00,7.14
1782766912,214007375,55,0,0,0,0.00,9.47
1782766913,214019349,56,1,1,0,0.00,12.37
1782766914,214473318,63,0,0,0,0.10,9.78
1782766915,213993285,41,0,0,0,0.00,10.10
1782766916,214018246,50,1,1,0,0.00,18.27
1782766917,213988203,43,0,0,0,0.00,11.11
1782766918,214029155,54,0,0,0,0.00,8.60
1782766919,214018103,47,0,0,0,0.00,13.13
1782766920,214019047,36,0,0,0,0.00,8.16
1782766921,213982987,54,1,2,0,0.00,17.48
1782766922,213996922,47,0,1,0,0.00,9.47
1782766923,213995853,28,0,0,0,0.00,8.91
1782766924,214006780,55,1,1,0,0.00,10.64
1782766925,214006703,38,0,0,0,0.00,9.18
1782766926,213984621,43,0,0,0,0.00,9.18
1782766927,214044535,55,0,0,0,0.00,15.00
1782766928,213987445,58,1,1,0,0.00,14.29
1782766929,214013350,35,1,3,0,0.00,11.00
1782766930,214871249,50,0,1,0,0.10,12.24
1782766931,214009148,58,1,1,0,0.00,13.40
1782766932,214019041,58,1,1,0,0.00,15.00
1782766933,213995930,56,0,0,0,0.00,15.84
1782766934,214014815,69,0,0,0,0.00,14.74
1782766935,214002695,58,0,0,0,0.00,15.15
1782766936,213995571,66,0,0,0,0.00,12.77
1782766937,213979443,58,0,0,0,0.00,19.42
1782766938,214010311,68,1,1,0,0.00,20.59
1782766939,214004175,37,0,0,0,0.00,10.20
1782766940,214006034,54,0,1,0,0.00,12.50
1782766941,213986890,63,1,1,0,0.00,17.00
1782766942,213980741,51,0,1,0,0.00,14.14
1782766943,213995588,46,1,1,0,0.00,10.42
1782766944,213992431,76,0,1,0,0.00,12.77
1782766945,213986270,92,1,1,0,0.00,13.98
1782766946,214009105,91,1,1,0,0.00,15.96
1782766947,213987936,91,0,0,0,0.00,17.35
1782766948,213982762,93,0,0,0,0.00,21.78
